,name,chan_no,distance,variable,interval,period_op,file
130,SJJ,83,3780,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
131,SJJ,83,3780,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
132,SJL,8,1520,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
133,SJL,8,1520,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
134,SRV,430,length,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
135,SRV,430,length,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
136,SUR,820,1321,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
137,SUR,820,1321,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
138,SXS,387,4605,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
139,SXS,387,4605,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
140,TPI,194,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
141,TPI,194,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
142,TPP,185,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
143,TPS,183,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
144,TPS,183,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
145,TPS-183,183,0,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
146,TPS-183,183,0,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
147,TRN,172,1290,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
148,TRN,172,1290,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
149,TSL,309,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
150,TSL,309,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
151,TWA,71,length,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
152,TWA,71,length,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
153,VCU2,229,1308,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
154,VCU2,229,1308,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
155,VNS,17,4706,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
156,VNS,17,4706,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
157,VON,410,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
158,VON,410,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
159,WCI,232,457,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
160,WCI,232,457,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
